id,host_id,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1,40535,Brooklyn,Private room,75,2,6,1.55,1,231
2,33625,Staten Island,Private room,60,1,35,1.48,1,208
3,46346,Queens,Entire home/apt,89,3,16,1.95,1,285
4,16242,Queens,Private room,68,5,20,3.37,1,74
5,43815,Manhattan,Private room,44,3,14,1.18,1,182
6,49262,Manhattan,Entire home/apt,375,5,11,3.07,1,270
7,15379,Manhattan,Private room,147,1,8,3.75,1,326
8,97437,Bronx,Entire home/apt,86,2,22,2.84,1,60
9,11891,Queens,Private room,79,2,17,3.9,1,322
10,13955,Queens,Entire home/apt,60,1,14,7.42,1,150
11,14741,Manhattan,Private room,454,1,18,1.53,1,282
12,11562,Staten Island,Entire home/apt,109,1,9,1.11,1,93
13,35869,Bronx,Private room,51,1,1,0.53,1,15
14,74107,Manhattan,Entire home/apt,174,1,6,2.12,1,141
15,47653,Manhattan,Private room,159,2,30,1.53,1,85
16,77970,Manhattan,Private room,337,2,6,3.08,1,265
17,26511,Brooklyn,Entire home/apt,325,1,13,1.38,1,57
18,81624,Brooklyn,Private room,156,14,6,0.71,1,284
19,30815,Brooklyn,Entire home/apt,249,2,7,1.55,1,131
20,59129,Brooklyn,Private room,80,3,8,0.39,1,205
21,68032,Queens,Entire home/apt,59,1,6,1.52,1,37
22,57896,Manhattan,Private room,141,2,16,0.97,1,67
23,22058,Brooklyn,Private room,86,2,7,4.43,1,202
24,51690,Brooklyn,Entire home/apt,328,1,20,4.73,1,11
25,60561,Brooklyn,Entire home/apt,218,1,8,1.64,1,51
26,51493,Queens,Entire home/apt,318,1,9,0.36,1,350
27,88401,Manhattan,Private room,304,2,24,0.68,1,330
28,75839,Brooklyn,Entire home/apt,143,1,7,1.64,1,230
29,44996,Queens,Private room,26,1,45,0.81,1,330
30,97936,Manhattan,Private room,337,5,6,1.3,1,70
31,49861,Queens,Entire home/apt,277,1,21,6.2,1,321
32,67894,Manhattan,Private room,74,1,11,1.13,1,320
33,96537,Manhattan,Entire home/apt,679,1,3,1.7,1,88
34,72711,Staten Island,Entire home/apt,142,30,11,2.07,1,328
35,10932,Staten Island,Private room,67,1,4,0.76,1,45
36,96800,Bronx,Entire home/apt,253,2,9,0.97,1,115
